Source1,Source2,Prediction,Target
smoke,fog,['smokfog'],smog
snide,remark,['snidremark'],snark
sneeze,satiation,['sneezatiation'],snatiation
sonus,sonny,['sononny'],sony
sound,landscape,['sodscape'],soundscape
spam,camelot,['scamelot'],spamalot
spam,indexing,['spindexing'],spamdexing
spanish,english,['spanisnglish'],spanglish
spectral,alert,['spectrlert'],spectralert
spoon,knife,['spooknife'],spife
spam,forgery,sporgery,sporgery
spoon,fork,['spoofork'],spork
squirm,wiggle,['squirwiggle'],squiggle
square,circle,squircle,squircle
stalker,paperazzi,['stalkrazzi'],stalkerazzi
star,architect,['staarchitect'],starchitect
stay,vacation,['stacation'],staycation
street,basketball,['streesketball'],streetball
stoned,drunk,['stonerunk'],strunk
swahili,english,['swahnglish'],swahinglish
swap,opportunity,['swanity'],swapportunity
swap,option,['swion'],swaption
swedish,english,['snglish'],swenglish
tagalog,english,['tagnglish'],taglish
tangerine,pomelo,['tangpomelo'],tangelo
tamil,english,['tnglish'],tanglish
tan,anorexia,['taanorexia'],tanorexia
tax,massachusetts,['thusetts'],taxachusetts
tehran,los_angeles,['tehrageles'],tehrangeles
telecommunications,informatics,['telecnformatics'],telematics
television,evangelist,['televisgelist'],televangelist
thermal,resistor,['tesistor'],thermistor
three,repeat,['tpeat'],threepeat
tiger,lion,['tigion'],tigon
tofu,turkey,tofurkey,tofurkey
tomato,tobacco,['tomattobacco'],tomacco
two,loonie,['twloonie'],toonie
transmitter,receiver,transceiver,transceiver
transfer,resistor,['transesistor'],transistor
transmitter,responder,['transmesponder'],transponder
travel,velocity,['trlocity'],travelocity
tree,heap,['treheap'],treap
triticum,secale,['triticuecale'],triticale
trooper,watergate,['trooatergate'],troopergate
twin,incest,twincest,twincest
urine,analysis,['urinanalysis'],urinalysis
veritas,horizon,['veritahorizon'],verizon
vermont,monster,['vermonmonster'],vermonster
vietnamese,asian,['vieasian'],vietnamasian
vitamin,isomer,['vitasomer'],vitamer
vital,amine,['vitaamine'],vitamin
video,blog,vlog,vlog
vomit,atrocious,['vomatrocious'],vomitrocious
volume,pixel,['voluixel'],voxel
wallaby,kangaroo,['wallabkangaroo'],wallaroo
warui,luigi,['waruluigi'],waluigi
warui,mario,['warumario'],wario
web,broadcast,['webroadcast'],webcast
world_wide_web,seminar,['worldseminar'],webinar
world_wide_web,episode,['worlepisode'],webisode
welsh,english,['welnglish'],wenglish
westlaw,lexisnexis,['westllexisnexis'],wexis
whale,dolphin,['whalphin'],wholphin
white,nigger,['whinigger'],wigger
wiki,reality,['wireality'],wikiality
wiki,encyclopedia,['wikencyclopedia'],wikipedia
wikipedia,etiquette,['wiketiquette'],wikiquette
wiki,dictionary,['wiictionary'],wiktionary
windows,intel,['windowintel'],wintel
wonka,elevator,['wonkelevator'],wonkavator
wooden,spoon,['woodespoon'],woon
work,alcoholic,['worcoholic'],workaholic
yesterday,gay,['yestgay'],yestergay
yiddish,english,['yiddisnglish'],yinglish
yoga,pilates,['ypilates'],yogalates
youth,euthanasia,['youuthanasia'],youthanasia
yugoslavia,mesopotamia,['yugoslaotamia'],yugopotamia
zeitgeist,ghost,['zeitgeighost'],zeitghost
zebra,donkey,['zdonkey'],zonkey
zebra,pony,['zebrpony'],zony
zebra,horse,['zebrhorse'],zorse
